Vectorizer,Model,Training Time,Compilation Time,Plaintext Prediction Time,FHE Encryption Time,FHE Inference Time,FHE Decryption Time,Accuracy,Recall,Precision,F1 Score,ROC AUC,Combination
tfidf,mlp,5.124394416809082,0.0819249153137207,0.1687650680541992,0.1344514687856038,0.5279509544372558,0.0012056430180867,0.954,0.9358578052550232,0.9565560821484992,0.94609375,0.9518093246673708,"2 bit, tfidf + mlp 1 layer"
count,mlp,5.105494022369385,0.0769689083099365,0.169581651687622,0.1472738742828369,0.5193283875783284,0.0006349086761474,0.9086666666666666,0.8454404945904173,0.9366438356164384,0.8887083671811534,0.9010320878579284,"2 bit, count + mlp 1 layer"
tfidf,mlp,791.3173387050629,65.01818132400513,154.93739795684814,0.2793230851491292,160.45329728921254,0.0006958802541097,0.9306666666666666,0.8717156105100463,0.964102564102564,0.9155844155844156,0.9235483093581884,"2 bit, tfidf + mlp 2 layers"
count,mlp,788.757791519165,64.53056716918945,155.73281121253967,0.3843475818634033,260.5784715731939,0.0005862871805826,0.796,0.5278207109737248,0.9985380116959064,0.6905965621840242,0.7636172722512236,"2 bit, count + mlp 2 layers"
tfidf,logistic_regression,3.577646255493164,0.1465845108032226,0.0554966926574707,0.1814653635025024,0.6082348187764486,0.0004746596018473,0.9153333333333332,0.9049459041731066,0.8993855606758833,0.9021571648690292,0.9140790482178546,"2 bit, tfidf + logistic_regression"
tfidf,decision_tree,42.44388437271118,2.7521674633026123,5.916231632232666,0.4093517700831095,54.93615431785584,0.0007200320561726,0.9323333333333332,0.9381761978361668,0.9080029917726252,0.9228430254656024,0.9330388609344962,"2 bit, tfidf + decision_tree"
tfidf,random_forest,3.398112773895264,0.8228757381439209,2.024428367614746,0.4108588457107544,7.431087462107341,0.0027604182561238,0.7883333333333333,0.5100463678516228,0.9984871406959152,0.6751918158567775,0.7547301006901725,"2 bit, tfidf + random_forest"
count,logistic_regression,3.290351867675781,0.0953292846679687,0.0535089969635009,0.197612182299296,0.5940131743748983,0.0020378033320109,0.6456666666666667,0.2248840803709428,0.8290598290598291,0.3537993920972644,0.5948570460471361,"2 bit, count + logistic_regression"
count,decision_tree,41.66019082069397,6.253005743026733,17.2756609916687,0.4098574876785278,158.53219039440154,0.0019351959228515,0.9196666666666666,0.9041731066460588,0.9090909090909092,0.9066253390158852,0.9177958147532757,"2 bit, count + decision_tree"
count,random_forest,3.222341537475586,0.8077995777130127,2.007275104522705,0.4057355403900146,7.1143216053644815,0.0055509010950724,0.6983333333333334,0.30370942812983,0.9899244332493704,0.4648137196924896,0.6506823811223593,"2 bit, count + random_forest"
tfidf,logistic_regression,3.1906955242156982,0.0855281352996826,0.0626289844512939,0.2120345910390218,0.6090440511703491,0.000500218073527,0.9793333333333332,0.9775888717156104,0.9745762711864406,0.9760802469135802,0.9791226890817208,"4 bit, tfidf + logistic_regression"
tfidf,decision_tree,38.28426766395569,2.02237868309021,4.292861700057983,0.4065893093744914,62.03813059329987,0.0011386712392171,0.9376666666666666,0.9428129829984544,0.9152288072018004,0.9288161400837456,0.938288085872029,"4 bit, tfidf + decision_tree"
tfidf,random_forest,3.255713701248169,1.2115874290466309,2.3980557918548584,0.323075270652771,16.321001410484314,0.0009970664978027,0.8453333333333334,0.6499227202472952,0.9870892018779344,0.7837837837837839,0.8217374445316195,"4 bit, tfidf + random_forest"
count,logistic_regression,3.116025924682617,0.1317534446716308,0.0553991794586181,0.2260345697402954,0.5728789329528808,0.0005525906880696,0.948,0.9404945904173106,0.9390432098765432,0.9397683397683396,0.9470937195931806,"4 bit, count + logistic_regression"
count,decision_tree,24.525535583496094,3.0382065773010254,6.58893632888794,0.4101174036661784,102.67421294848124,0.0013250668843587,0.925,0.9366306027820712,0.8944649446494465,0.9150622876557192,0.9264043986946696,"4 bit, count + decision_tree"
count,random_forest,3.2432570457458496,1.163327693939209,2.2837955951690674,0.3172765413920084,16.18532549540202,0.0019349972407023,0.8043333333333333,0.5510046367851623,0.9916550764951322,0.7083954297069053,0.7737438189787476,"4 bit, count + random_forest"
tfidf,logistic_regression,3.314723253250122,0.1051540374755859,0.054049015045166,0.2451090892155965,0.2911971012751261,0.0004302342732747,0.9783333333333334,0.9752704791344669,0.9745173745173744,0.9748937813827732,0.977963492791149,"6 bit, tfidf + logistic_regression"
tfidf,decision_tree,34.760178565979004,1.958069324493408,4.197010278701782,0.4102018276850382,67.54756361643473,0.0012010335922241,0.944,0.9520865533230294,0.920777279521674,0.9361702127659576,0.944976453683789,"6 bit, tfidf + decision_tree"
tfidf,random_forest,3.4466893672943115,1.20408034324646,2.277064561843872,0.4163259585698445,21.83196761608124,0.0018877347310384,0.831,0.615146831530139,0.9888198757763976,0.7584564078132444,0.8049356666443194,"6 bit, tfidf + random_forest"
count,logistic_regression,3.146236658096313,0.1095564365386962,0.0549244880676269,0.2588837623596191,0.6869695901870727,0.0009179433186848,0.9646666666666668,0.955177743431221,0.9626168224299064,0.9588828549262994,0.9635208764049424,"6 bit, count + logistic_regression"
count,decision_tree,20.653353929519653,2.7892000675201416,5.792036294937134,0.4063702662785848,102.54993878205616,0.0012187401453653,0.9426666666666668,0.9513137557959814,0.9186567164179104,0.9347000759301444,0.9437108052133484,"6 bit, count + decision_tree"
count,random_forest,3.405484437942505,1.2659382820129397,2.42451286315918,0.4202185948689779,23.400220878918965,0.0023661772410074,0.8416666666666667,0.642967542503864,0.9846153846153848,0.7779336138382421,0.817673689188626,"6 bit, count + random_forest"
